numberCalled,callType,timeStamp,duration,potentialTerrorist,,
4,1,1,14,1,,
3,0,5,12,1,,
2,1,6,10,1,,
3,1,7,16,1,,
4,0,8,12,1,,
3,1,9,8,1,,
2,1,10,5,1,,
3,1,11,23,1,,
1,0,12,4,1,,
1,1,13,0,1,,
1,0,14,2,1,,
1,0,15,4,1,,
1,1,16,5,1,,
4,1,1,6,0,,
5,0,2,9,0,,
6,1,3,10,0,,
6,1,4,30,0,,
5,0,5,15,0,,
7,0,6,16,0,,
7,1,7,42,0,,
4,0,8,7,0,,
6,0,9,9,0,,
5,0,10,12,0,,
4,1,11,9,0,,
7,1,12,9,0,,
7,0,13,5,0,,
4,0,14,23,0,,
4,1,15,6,0,,
5,0,16,40,0,,
,,,,,,
"* incoming = 1, outgoing = 0",,,,,,
"* yes = 1, no = 0",,,,,,
* (000) 000-0000 = 1,,,,,,
* (512) 394-3829 = 2,,,,,,
* (383) 483-5584 = 3,,,,,,
* (655) 405-7114 = 4,,,,,,
* (951) 355-0368 = 5,,,,,,
* (511) 844-8820 = 6,,,,,,
* (210) 481-5829 = 7,,,,,,
* 24 hours = 1 - 24,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
